1 · Pari joueur,,,,
Points joueur,1,Non géré,"""et au moins 2 AUTRES joueurs"" non nommés = comptage roster-wide (02)",Au moins deux autres joueurs = deux autres joueurs sur tous ceux capables de jouer le match en question. Gérable ?
Cumul statistiques joueurs,1,Géré,"COMBO, somme sur 2 joueurs nommés",
8 · Événement de match,,,,
20 paris,,,,
4 géré16 non géré,,,,
Sous-catégorie,N,Statut,Pourquoi,
Fautes techniques,3,Non géré,stat jamais modélisée (06),Trouver la donnée ? Ajouter la donnée au modèle
Événement arbitral,2,Non géré,aucune donnée + formulation souvent vague (10),Trouver la donnée ? Ajouter la donnée au modèle
Blessure,2,Non géré,stat jamais modélisée (06),Trouver la donnée ? Ajouter la donnée au modèle
Action rare,2,Non géré,panier à 4 points / retour de blessure — aucun mécanisme,Panier à 4 points : n'existe pas. retour de blessure ?
Interceptions équipe,2,Géré,MATCH_TOTAL total_stl (combiné 2 équipes),
Buzzer beater,2,Non géré,événement granulaire play-by-play (07),"Granulaire au play by play, possible de l'ajouter ?"
Contres joueur,2,Géré,MATCH_TOTAL total_blk (combiné 2 équipes),
Faute technique,2,Non géré,stat jamais modélisée (06),Trouver la donnée ? Ajouter la donnée au modèle
Temps morts,1,Non géré,stat jamais modélisée (06),Trouver la donnée ? Ajouter la donnée au modèle
Triple-double (joueur non nommé),1,Non géré,"comptage roster-wide (02) — ""au moins un joueur"", lequel ?",Lequel = peu importe tant qu'il y en a un qui y arrive
Violation de jeu,1,Non géré,événement granulaire play-by-play (07),Trouver la donnée ? Ajouter la donnée au modèle
9-12 · Hors périmètre par conception,,,,
36 paris,,,,
Ces 4 catégories ne sont pas des trous — le principe du projet est de ne jamais forcer une extraction incertaine (10). Rejetées volontairement dès la conception du prompt IA.,,,,
,,,,
"Aucun pari (15) — catégorie administrative (soumission vide/non-pari), sans objet.",,,,
,,,,
"Fun / hors terrain (14) — pom-pom girl, mascotte, célébrités en tribune : hors du domaine sportif calculable par nature.",,,,
,,,,
"Invalide / impossible (5) — discriminatoire, physiquement impossible, autre sport, non vérifiable.",,,,
,,,,
Ambigu / non vérifiable (2) — texte illisible ou incomplet.,,,,
